,cost
185,6704.108058012088
186,6708.10557239904
187,6688.97231464174
188,6751.931366135263
189,6729.896690249119
190,6711.685347984824
191,6707.030262780574
192,6700.15033539911
193,6738.312335253178
194,6701.298802294028
195,6732.726292115506
196,6692.066578021233
197,6698.456716888325
198,6695.5227185330805
199,6701.222805336366
200,6713.983853965218
201,6739.58273412213
202,6724.116110168141
203,6720.333703177361
204,6713.510317672765
205,6701.899486783961
206,6704.02951282516
207,6722.943866426603
208,6732.942637749793
209,6727.75312587983
210,6704.989475355966
211,6704.714722344195
212,6705.211042488393
213,6743.249231700953
214,6707.357092593432
215,6712.875692890876
216,6720.72533263399
217,6718.632810072938
218,6706.228893187747
219,6759.642210716415
220,6732.702470776394
221,6700.543196422495
222,6733.051623304916
223,6740.474625566699
224,6725.806477922728
225,6728.622719839152
226,6693.621677787695
227,6714.455414298369
228,6704.951687770969
229,6725.004971303109
230,6719.921200390544
231,6716.796310705549
232,6731.542397461734
233,6717.453758967767
234,6719.763420868966
235,6707.6545541245105
236,6711.4608534619365
237,6721.1206271285755
238,6710.144595903312
239,6715.405207276714
240,6706.327762012239
241,6708.444582928497
242,6730.709380717045
243,6719.436088289451
244,6724.613727957215
245,6719.232277079101
246,6714.500845156141
247,6729.755694494394
248,6708.659504584694
249,6728.045964887976
250,6687.949868235894
251,6737.95091408489
252,6700.371070884895
253,6717.613574762795
254,6728.645240599829
255,6731.906442855022
256,6709.215280257927
257,6716.588045033395
258,6724.092513133321
259,6728.144065384145
260,6722.9016989381535
261,6726.967807612901
262,6733.414114651248
263,6689.8629564286975
264,6718.036930113365
265,6707.742641438223
266,6680.776454592886
267,6719.293458160223
268,6687.850994601465
269,6722.119721302633
270,6737.6568052982075
271,6720.011974420507
272,6722.3270284836435
273,6713.5116375188845
274,6722.159971433732
275,6723.576371613947
276,6732.598068217272
277,6766.654170129101
278,6717.989439833355
279,6744.302431724836
280,6725.046985881318
281,6725.0959698565475
282,6713.33463021443
283,6703.16790449171
284,6708.566611855675
285,6708.511075612994
286,6712.2736178349405
287,6699.615332244357
288,6715.885286998777
289,6708.152427485752
290,6710.185355558845
291,6707.055036458092
292,6722.5658499285955
293,6688.188324979083
294,6718.2617743084165
295,6709.658841948936
296,6712.905749596951
297,6737.88847096361
298,6723.272444843903
299,6698.744651350466
300,6721.432304185496
301,6718.4668571475995
302,6701.260938155343
303,6721.969425940083
304,6722.189486736844
305,6717.256528903642
306,6710.6960868221595
307,6708.424968703645
308,6719.983591157599
309,6722.757256299752
310,6706.646221789402
311,6730.452558218509
312,6719.501374925195
313,6726.377632661079
314,6726.9789537483775
315,6727.540270968476
316,6712.718114307451
317,6687.356402708051
318,6711.976146021413
319,6707.4868479044435
320,6714.421934269231
321,6744.296341080799
322,6722.6156007715535
323,6715.1909538744285
324,6740.971310728556
325,6694.539935335964
326,6718.299615941754
327,6703.053564042427
328,6710.416320986156
329,6717.2786642482115
330,6729.626495350668
331,6728.488131704463
332,6757.454193598747
333,6727.917663046998
334,6715.244118940517
335,6704.280392305379
336,6697.236113042591
