,cost
423,6784.560366429092
424,6667.291683748637
425,6753.876081053844
426,6958.588228484866
427,6708.656814895158
428,6742.129531335751
429,6622.905341295042
430,6859.291717484086
431,6756.46528068577
432,6643.3467623890065
433,6683.2494652040095
434,6835.385105663932
435,6671.1094503409395
436,6782.4419783001695
437,6656.716738574855
438,6859.632380292322
439,6735.0586925151165
440,6678.7196353463405
441,6939.655090483245
442,6821.451913626173
443,6800.803112911866
444,6769.354860829948
445,6819.201416165423
446,6853.679002855169
447,6569.3104925157895
448,6707.496550403706
449,6883.274048139044
450,6763.252734601147
451,6864.606171363762
452,6830.2401443362905
453,6618.811747351258
454,6808.414316840427
455,6812.1565351318695
456,6590.496755253217
457,6660.531763120199
458,6642.591801782007
459,6815.298646278664
460,6763.444031962939
461,6831.173046862799
462,6746.35665054247
463,6548.207822635734
464,6760.887167890059
465,6653.118115203533
466,6862.589755536014
467,6692.579127953989
468,6765.134488930129
469,6666.911641987245
470,6768.625218420503
471,6838.599753849862
472,6655.327870543539
473,6846.243859021207
474,6787.613586066387
475,6683.71302350979
476,6720.671943805703
477,6779.156669369152
478,6791.753268389224
479,6894.940733446785
480,6703.131825096187
481,6773.763264175827
482,6678.394469850031
483,6842.9194323234115
484,6925.796108442633
485,6845.40137796873
486,6808.843158127898
487,6906.7825532036395
488,6801.999982874738
489,6697.488080247107
490,6732.913165969043
491,6717.134499114808
492,6820.840116743816
493,6632.998827853481
494,6781.316456422141
495,6713.709630380384
496,6608.538554646875
497,6671.58266435668
498,6857.838853064102
499,6758.625432195904
500,6931.93569820285
501,6788.626757044031
502,6723.02045650336
503,6634.4481676542755
504,6858.367631905798
505,6647.701319412029
506,6830.301361180905
507,6759.367427160191
508,6799.75723327692
509,6815.88496845828
510,6719.520216327963
511,6750.995237325877
512,6539.8153166775355
513,6712.646937479602
514,6792.78984350527
515,6831.727564419756
516,6691.4406974012945
517,6906.226047565182
518,6783.067083725557
519,6846.47572197646
520,6764.994255877713
521,6776.032671488468
522,6831.304213738876
523,6591.349166232282
524,6675.007222334653
525,6724.197444942057
526,6843.569027207702
527,6767.733327388133
528,6735.71642468786
529,6822.576152742431
530,6886.242791984071
531,6661.421007068116
532,6803.676851016866
533,6764.2240247000655
534,6752.745331809479
535,6910.007217483832
536,6547.20900729517
537,6702.536813604741
538,6743.832890448389
539,6756.589357367743
540,6659.326946083239
541,6738.867310286975
542,6661.508374766002
543,6833.582626266598
544,6694.8522217303025
545,6716.611914803656
546,6798.020633907119
547,6873.010140784103
548,6810.382814280977
549,6624.874746148859
550,6853.973356058269
551,6676.534705560297
552,6694.0808636509755
553,6608.253995369898
554,6701.180729322477
555,6775.648370992169
556,6563.222765470376
557,6693.360026665549
558,6751.084567560141
559,6741.2547771652635
560,6797.195203549784
561,6692.444743871729
562,6801.468135300022
563,6704.521072659382
564,6685.65995845753
565,6511.3680074968315
566,6645.436582181834
567,6712.409341925753
568,6870.4084374336635
569,6729.640505918748
570,6669.078110110804
571,6834.26428293668
572,6595.1079405400105
573,6815.764307542319
574,6756.225945785125
575,6594.623921417544
576,6870.951729320362
577,6654.646798430699
578,6752.757989570807
579,6780.135479542946
580,6563.152502634118
581,6784.2917974153515
582,6657.043473123974
583,6721.98367186882
584,6768.814966172296
585,6693.445060838261
586,6799.138402688653
587,6797.2564803134555
588,6753.378633070807
589,6811.515728167663
590,6957.277572233371
591,6676.371197732053
592,6725.290891906506
593,6803.151913191636
594,6675.990786587286
595,6756.887150205941
596,6599.053625740408
597,6669.5401565832635
598,6766.035268452082
599,6717.524030857304
600,6709.5892203775265
601,6760.855577831611
602,6621.340294508838
603,6868.054686742579
604,6884.776961963107
605,6593.529879213636
606,6679.521230965515
607,6702.785051144357
608,6759.235497845151
609,6594.436432336732
610,6769.385991398011
611,6541.808890592451
612,6721.759607076761
613,6690.461138597063
614,6777.9866665727595
615,6586.177939018824
616,6776.497077451957
617,6724.462813893688
618,6796.597352941472
619,6810.861280975047
620,6741.919632297066
621,6853.187576638073
622,6929.312080876854
623,6685.92498488264
624,6465.786677167187
625,6634.424362155479
626,6612.4712749100345
627,6669.151435924391
