,cost
489,1911.236877700717
490,1899.9231328477715
491,1909.5964246064802
492,1920.0377921066722
493,1905.9276413855416
494,1907.9386598939773
495,1903.0287928592663
496,1913.7498102995442
497,1923.11632436571
498,1895.5449393717877
499,1913.4630095338975
500,1913.1000180170734
501,1915.3628727228802
502,1918.4644989185633
503,1918.8229908915932
504,1917.7329209912198
505,1917.5201169113031
506,1911.1238138049443
507,1900.0389943331493
508,1922.5306684470193
509,1914.6920366947338
510,1919.3415133683118
511,1907.0094735034645
512,1922.700666086965
513,1900.94917784656
514,1900.1259626533247
515,1915.1739247746955
516,1912.4204335462387
517,1905.8833963851944
518,1902.5979366253284
519,1917.9776115642462
520,1908.3214073408533
521,1914.4637171178767
522,1900.6716912293439
523,1893.059556676597
524,1921.1770854576134
525,1922.7867029403164
526,1914.7430526919102
527,1913.5800057277158
528,1908.382832928821
529,1919.185365667367
530,1912.2761020579471
531,1913.902573758721
532,1910.0041427257047
533,1910.6999810264147
534,1910.9767459892826
535,1904.1475449223656
536,1903.173252606569
537,1903.477514558153
538,1903.012310591334
539,1919.5226840128805
540,1916.3011404159477
541,1899.0764746758928
542,1918.1191635086643
543,1929.4239314033673
544,1931.1895782267177
545,1915.9949266511421
546,1909.627247010743
547,1914.473318900904
548,1911.3619278702508
549,1910.0947201745728
550,1924.0589449714992
551,1913.491523423864
552,1921.01583971118
553,1917.6865298893306
554,1905.4861735764014
555,1914.314548221893
556,1901.5626017387576
557,1920.8041039303866
558,1905.2555313760583
559,1903.5420465678221
560,1915.5140134726232
561,1915.775610059827
562,1921.670475077408
563,1919.3625821835515
564,1913.3498070483624
565,1891.4399111266796
566,1925.1085117182538
567,1907.5308993998162
568,1903.1038729853522
569,1941.8433144470546
570,1917.145734049345
571,1908.539132160904
572,1906.292561501111
573,1900.6117349582419
574,1908.0101272671468
575,1919.2373819884356
576,1930.6542933253504
577,1921.5648026151719
578,1913.122701512022
579,1898.4813562999836
580,1900.9425119522111
581,1931.6344405524678
582,1908.7364180541804
583,1918.0966549225911
584,1917.3493904864608
585,1903.9715705185426
586,1911.422337367055
587,1907.9476340001227
588,1902.7931727863797
589,1912.7537855762355
590,1919.6787308308944
591,1904.5451935204435
592,1930.6423870118188
593,1921.7146414676872
594,1916.9181135160911
595,1907.4681824042889
596,1906.5675314909581
597,1913.358885566397
598,1912.5587715313343
599,1916.2135292435355
600,1900.4305195404916
601,1916.51174954059
602,1913.479400602052
603,1898.4633880678105
