,cost
470,2004.1875730289137
471,1865.4702160410388
472,1862.840379378229
473,1875.4026149887939
474,1963.0268928963508
475,1920.2147498643144
476,1963.5878412309141
477,1860.4656770249796
478,1890.6027260475337
479,1872.7396733385817
480,1853.9604627111994
481,1879.7938096984296
482,1940.421213130089
483,1916.954955653993
484,1901.5695833569737
485,1879.6667930656415
486,1906.1602565271057
487,1886.5018305780475
488,1968.172110675191
489,1954.4024145303345
490,1808.3709605250747
491,1928.1812811063617
492,1931.4797841246955
493,1974.477720500764
494,1919.1951652311093
495,1855.7786889599927
496,1910.0902002296807
497,1857.7637479819475
498,1846.1910192784183
499,1975.4733567343476
500,1878.994214000662
501,1867.0716764067404
502,1984.4699278620956
503,2003.5459430253413
504,1824.256573690329
505,1869.5145029910093
506,1902.6639630260206
507,1862.2521754178217
508,1874.9045825799985
509,1920.8837641149557
510,1883.9965408699843
511,1956.8256908341455
512,1902.0062503574827
513,1807.020910542451
514,1864.8508467095298
515,1895.8934623747523
516,1917.2307417755626
517,1945.2375729945134
518,1902.4397780365537
519,1970.3155980639413
520,1948.9792164797752
521,1892.2836638378415
522,1951.7337525608507
523,1984.9641673867875
524,1852.523965559096
525,1970.9817899909658
526,1929.2859726004665
527,1920.435857930025
528,1835.5691492474373
529,1890.767072104636
530,1909.4592181226822
531,1909.2318104847798
532,1966.274540843817
533,1931.5141258455963
534,1943.895129191398
535,1886.2411712728149
536,1960.0559610457308
537,1916.6410710051127
538,1924.6135951360507
539,1867.8745966806098
540,1861.0351798644247
541,1914.1574156170336
542,2010.985218543925
543,1936.5397399337685
544,1860.379219419172
545,1876.5765845956375
546,1902.4169386332942
547,1963.6634627503008
548,1882.6543613940498
549,1855.5234876567647
550,1852.3441277875627
551,1910.472102947465
552,1863.275914945361
553,1961.3875338080418
554,1921.199411747509
555,1911.3638795884258
556,1921.3934566060414
557,1952.026524837637
558,1818.3871809846821
559,1945.2206989553572
560,1958.4144149333044
561,1838.3337446718142
562,1889.0688885548334
563,1788.6646438032826
564,1913.4751955927018
565,1843.8784445713247
566,1886.8102497959694
567,1855.219022976311
568,1906.3729653232747
569,1881.9624037078463
570,1864.7911175546126
571,1937.249089846017
572,1904.536537499927
573,1922.205684516549
574,1933.6484967590259
575,1916.9602361105735
576,1866.3308164623108
577,1950.3760690181457
578,1931.2185378502088
579,1996.910876177909
580,1911.2411247372145
581,1919.093610539831
582,1895.0145129068187
583,1925.2530083064914
584,1898.3607087168218
585,1878.5216899418933
586,1909.521972036719
587,1857.6099013294797
588,1871.015081331696
589,1866.9681371335857
590,1868.5501535238534
591,1872.1424331909432
592,1864.302538085058
593,1857.5274817084226
594,1871.0359671899098
595,1874.4001603658157
596,1963.6358867921306
597,1839.4451164900984
598,1854.2919796635817
599,1880.3485010706825
600,1843.2776824076768
601,1851.486018466363
602,1926.8194333564372
603,1872.050052929176
604,1858.333213851571
605,1915.6900307046149
606,1898.9142909635498
607,1970.8077905665727
608,1894.9838026676591
609,1968.1677390894831
610,1948.302868506649
611,1904.3079205729698
612,1818.304848414776
613,1949.0796890234644
614,1917.7802185903613
615,1894.670367902099
616,1846.5368476574413
617,1982.699817154523
618,1943.8396606623648
619,1953.7921487904139
620,1883.7728641896351
621,1873.1929036106794
622,2013.0868329303314
623,1954.5718046219613
624,1908.442392241283
625,1857.0109431970652
626,1890.510949378302
627,1945.7537568549233
628,1966.1504824438582
629,1900.7827846552625
630,1871.5952771982484
631,1917.4102020895243
632,1974.904867399302
633,1888.3409897943004
634,1889.1684072721207
635,1952.0390716113739
636,1968.965148116582
637,1834.3608378862707
638,1884.829627306051
639,1977.2795650064818
640,1881.79245162179
641,1917.2710840370503
642,1943.7471661860268
643,1952.5357196525736
644,1850.7471682674204
645,1858.733549121929
646,1941.5678609471693
647,1961.3141392686484
648,1950.3660557179433
649,1963.0613632404802
650,1924.8648660249762
651,1865.8943335948877
652,1904.3570004179735
653,1862.7537081940939
654,1881.4125286428127
655,2004.9678393171378
656,1870.2072394840516
657,1784.701943629046
658,1939.6100652783568
659,1870.0969361862653
660,1906.889320110664
661,1901.4164147935473
662,1853.8323003799965
663,1923.5284733914807
664,1950.7870477369058
665,1853.8655047668356
666,1864.3867958369833
667,1898.6901321075204
668,1923.9196826809703
669,1891.2050803613067
670,1792.4940175586123
671,1886.394968662739
672,1864.96556325629
673,1931.18573180842
674,1836.921327382796
675,1957.7417435659818
676,1917.4866377337585
677,1947.5879551012563
678,1801.468476368147
679,1928.0253061143378
680,1867.6926805571727
681,1978.9549733856668
682,1906.5245002203483
683,1995.9536480081392
684,1838.102734784709
685,1876.274328059858
686,1899.1079101176647
687,1890.431280455795
688,1970.090866664749
689,1890.2211799094136
690,1908.728965234174
691,1861.6805294135281
692,1969.5171239486592
693,1945.2421674235031
694,1848.8172374104872
695,1884.6882274245108
696,1856.2712200411256
697,1992.4775927790765
698,1925.548133522769
699,1844.5193255618142
700,1916.2742054132098
701,1877.9621010754881
702,1911.72325038714
703,1857.6635259436496
704,1873.9628980732007
705,1885.3487778819135
706,1897.6489028247022
707,1930.9213015813516
708,1845.1675341761315
709,1976.5167853281707
710,1871.6529074773523
711,1927.857382987736
712,1880.3993633025084
713,1850.42392096765
714,1890.7067907175103
715,1943.2217477102145
716,1925.411553356592
717,1908.7912947970815
718,1868.7715224585243
719,1985.377630654406
720,1868.5088423450618
721,2018.6087175271664
722,1930.2354318576915
723,1967.6523576605125
724,1916.7092659180857
725,1843.0146892811786
726,1884.8606321561292
727,1852.847021833602
728,1913.4733230006289
729,1887.544130613313
730,1897.0327267618622
731,1856.4917929312635
732,1858.153220889749
733,1897.7655685857649
734,1904.3139338249146
735,1829.5991854182394
736,1819.81525648843
737,1882.643085983856
738,1876.2713208557561
